Name,Description,frontImage,backImage,vendorName,link,Garment Type,caption
HOODED DENIM JACKET,Boxy-fit jacket. High neck with adjustable hood and long sleeves with buttoned cuffs. Chest patch pockets with flaps. Tabs with multi-functional ring on the front. Faded effect. Zip-up front hidden by a snap-button placket.,JacketFront1,JacketBack1,Zara,"https://www.zara.com/eg/en/hooded-denim-jacket-p01538428.html
",Jacket,brown brownness floral flowered form gown gray grayness grey greyness hanker long pattern shape yearn
WASHED CROPPED TRENCH COAT,Relaxed-fit trench coat made of cotton twill. Wide notched lapel collar and long sleeves with buttoned cuffs. Side pockets and inside pocket detail. Washed effect. Double-breasted button fastening on the front.,JacketFront10,JacketBack10,Zara,"https://www.zara.com/eg/en/washed-cropped-trench-coat-p00706907.html
",Jacket,Caucasian White White_person adult_female arm coat fashionable full full-of-the-moon full_moon full_phase_of_the_moon sleeve stylish woman
SWEATSHIRT WITH CONTRAST SLOGAN,Oversized sweatshirt with a round neck and short sleeves. Contrast prints on the front and back.,JacketFront100,JacketBack100,Zara,"https://www.zara.com/eg/en/sweatshirt-with-contrast-slogan-p05584409.html
",Jacket,Caucasian White White_person adult_female color coloring_material colour colouring_material cotton cotton_fiber cotton_wool crop crystal_clear crystalline harvest limpid lucid pellucid print red redness shirt spandex top transparent woman
SLOGAN PRINT SWEATSHIRT,Oversize sweatshirt with a round neck and long sleeves. Contrast slogan print on the front. Ribbed trims.,JacketFront101,JacketBack101,Zara,"https://www.zara.com/eg/en/slogan-print-sweatshirt-p00962452.html
",Jacket,cotton cotton_fiber cotton_wool pant perspiration pink shirt sudor sweat
TECHNICAL SWEATSHIRT WITH SLOGAN,"Cropped sweatshirt made of lightweight technical fabric. Featuring a V-neck, long sleeves, mesh fabric lining, contrast prints on the front and back and contrast ribbed trims.",JacketFront102,JacketBack102,Zara,"https://www.zara.com/eg/en/technical-sweatshirt-with-slogan-p00526409.html
",Jacket,adult_female bead black blackness drop inkiness jogger pearl waist waistline woman wool woolen woollen
SWEATSHIRT WITH CONTRAST STRIPES,Relaxed fit sweatshirt with a round neck and long sleeves. Contrast stripe appliqués on the sleeves. Ribbed trims.,JacketFront104,JacketBack104,Zara,"https://www.zara.com/eg/en/sweatshirt-with-contrast-stripes-p00679410.html
",Jacket,black blackness business_office button crop frontal frontlet inkiness leather office slide_fastener top zip zip_fastener zipper
CONTRAST PRINT SWEATSHIRT,Oversize round neck sweatshirt with short sleeves. Contrast embroidery and prints on the front and back.,JacketFront105,JacketBack105,Zara,"https://www.zara.com/eg/en/contrast-print-sweatshirt-p06224404.html
",Jacket,Caucasian White White_person black blackness hoodie inkiness print shirt unisex vintage
COLOUR BLOCK HOODIE,Hoodie. Long sleeves. Front pouch pocket. Ribbed trims.,JacketFront106,JacketBack106,Zara,"https://www.zara.com/eg/en/colour-block-hoodie-p03443402.html
",Jacket,adult_female arm black blackness brown brownness hanker inkiness jacket long print sleeve woman yearn
COMPACT SWEATSHIRT,Loose-fitting sweatshirt in compact cotton fabric. Round neck and short sleeves.,JacketFront107,JacketBack107,Zara,"https://www.zara.com/eg/en/compact-sweatshirt-p04442433.html
",Jacket,adult_female casual flounce frill furbelow insouciant nonchalant pink ruched ruffle top woman
HOODIE WITH SLOGAN,Loose-fitting hoodie made of cotton fabric with a napped interior. Long sleeves. Front pouch pocket. Slogan print on the front. Ribbed trims.,JacketFront108,JacketBack108,Zara,"https://www.zara.com/eg/en/hoodie-with-slogan-p00761414.html
",Jacket,coat hanker jacket long yearn
PATCH SWEATSHIRT,"Quarter-zip cotton sweatshirt with a napped interior. Featuring a high neck with snap-button fastening at the front, long sleeves, a patch detail on the chest, welt pockets at the hip and ribbed trims.",JacketFront109,JacketBack109,Zara,"https://www.zara.com/eg/en/patch-sweatshirt-p00039401.html
",Jacket,arm button hanker jacket long pink sleeve yearn
JACKET WITH EMBROIDERED PATCHES,"Loose-fitting collared jacket made of lightweight fabric. Featuring long sleeves with elastic cuffs, a contrast front patch appliqué with embroidery on the front and back, a front pouch pocket, an elastic hem and a zip-up front.",JacketFront11,JacketBack11,Zara,"https://www.zara.com/eg/en/jacket-with-embroidered-patches-p05320345.html
",Jacket,adult_female arm brown brownness embellishment embroidery green greenness olive sleeve top viridity woman
TEXTURED WEAVE SWEATSHIRT,Sweatshirt made of fabric with a brushed finish. Round neck and long sleeves. Ribbed trims.,JacketFront110,JacketBack110,Zara,"https://www.zara.com/eg/en/textured-weave-sweatshirt-p02795406.html
",Jacket,adult_female arm cervix conniption fit free full full-of-the-moon full_moon full_phase_of_the_moon hoodie liberate loose neck one_shot release round scene short sleeve tantrum top unit_of_ammunition unloose unloosen woman
